Region;Brott;År;Period;Antal;/100 000 inv
Burlöv kommun;Narkotikabrott;2015;Jul;4;23
Burlöv kommun;Narkotikabrott;2015;Aug;8;46
Burlöv kommun;Narkotikabrott;2015;Sep;9;52
Burlöv kommun;Narkotikabrott;2015;Okt;15;87
Burlöv kommun;Narkotikabrott;2015;Nov;8;46
Burlöv kommun;Narkotikabrott;2015;Dec;9;52
Båstad kommun;Narkotikabrott;2015;Jan;11;76
Båstad kommun;Narkotikabrott;2015;Feb;18;125
Båstad kommun;Narkotikabrott;2015;Mar;10;69
Båstad kommun;Narkotikabrott;2015;Apr;4;28
Båstad kommun;Narkotikabrott;2015;Maj;4;28
Båstad kommun;Narkotikabrott;2015;Jun;0;0
Båstad kommun;Narkotikabrott;2015;Jul;14;97
Båstad kommun;Narkotikabrott;2015;Aug;0;0
Båstad kommun;Narkotikabrott;2015;Sep;2;14
Båstad kommun;Narkotikabrott;2015;Okt;2;14
Båstad kommun;Narkotikabrott;2015;Nov;0;0
Båstad kommun;Narkotikabrott;2015;Dec;5;35
Dals-Ed kommun;Narkotikabrott;2015;Jan;4;84
Dals-Ed kommun;Narkotikabrott;2015;Feb;3;63
Dals-Ed kommun;Narkotikabrott;2015;Mar;0;0
Dals-Ed kommun;Narkotikabrott;2015;Apr;0;0
Dals-Ed kommun;Narkotikabrott;2015;Maj;3;63
Dals-Ed kommun;Narkotikabrott;2015;Jun;0;0
Dals-Ed kommun;Narkotikabrott;2015;Jul;0;0
Dals-Ed kommun;Narkotikabrott;2015;Aug;0;0
Dals-Ed kommun;Narkotikabrott;2015;Sep;0;0
Dals-Ed kommun;Narkotikabrott;2015;Okt;2;42
Dals-Ed kommun;Narkotikabrott;2015;Nov;0;0
Dals-Ed kommun;Narkotikabrott;2015;Dec;0;0
Danderyd kommun;Narkotikabrott;2015;Jan;17;53
Danderyd kommun;Narkotikabrott;2015;Feb;8;25
Danderyd kommun;Narkotikabrott;2015;Mar;31;96
Danderyd kommun;Narkotikabrott;2015;Apr;5;15
Danderyd kommun;Narkotikabrott;2015;Maj;11;34
Danderyd kommun;Narkotikabrott;2015;Jun;3;9
Danderyd kommun;Narkotikabrott;2015;Jul;6;19
Danderyd kommun;Narkotikabrott;2015;Aug;3;9
Danderyd kommun;Narkotikabrott;2015;Sep;14;43
Danderyd kommun;Narkotikabrott;2015;Okt;19;59
Danderyd kommun;Narkotikabrott;2015;Nov;8;25
Danderyd kommun;Narkotikabrott;2015;Dec;18;56
Degerfors kommun;Narkotikabrott;2015;Jan;19;199
Degerfors kommun;Narkotikabrott;2015;Feb;13;136
Degerfors kommun;Narkotikabrott;2015;Mar;8;84
Degerfors kommun;Narkotikabrott;2015;Apr;8;84
Degerfors kommun;Narkotikabrott;2015;Maj;4;42
Degerfors kommun;Narkotikabrott;2015;Jun;11;115
Degerfors kommun;Narkotikabrott;2015;Jul;4;42
Degerfors kommun;Narkotikabrott;2015;Aug;2;21
Degerfors kommun;Narkotikabrott;2015;Sep;10;105
Degerfors kommun;Narkotikabrott;2015;Okt;14;147
Degerfors kommun;Narkotikabrott;2015;Nov;3;31
Degerfors kommun;Narkotikabrott;2015;Dec;0;0
Dorotea kommun;Narkotikabrott;2015;Jan;0;0
Dorotea kommun;Narkotikabrott;2015;Feb;2;73
Dorotea kommun;Narkotikabrott;2015;Mar;1;36
Dorotea kommun;Narkotikabrott;2015;Apr;1;36
Dorotea kommun;Narkotikabrott;2015;Maj;0;0
Dorotea kommun;Narkotikabrott;2015;Jun;0;0
Dorotea kommun;Narkotikabrott;2015;Jul;0;0
Dorotea kommun;Narkotikabrott;2015;Aug;0;0
Dorotea kommun;Narkotikabrott;2015;Sep;0;0
Dorotea kommun;Narkotikabrott;2015;Okt;1;36
Dorotea kommun;Narkotikabrott;2015;Nov;0;0
Dorotea kommun;Narkotikabrott;2015;Dec;0;0
Eda kommun;Narkotikabrott;2015;Jan;7;83
Eda kommun;Narkotikabrott;2015;Feb;9;106
Eda kommun;Narkotikabrott;2015;Mar;6;71
Eda kommun;Narkotikabrott;2015;Apr;8;94
Eda kommun;Narkotikabrott;2015;Maj;3;35
Eda kommun;Narkotikabrott;2015;Jun;4;47
Eda kommun;Narkotikabrott;2015;Jul;3;35
Eda kommun;Narkotikabrott;2015;Aug;3;35
Eda kommun;Narkotikabrott;2015;Sep;12;142
Eda kommun;Narkotikabrott;2015;Okt;24;283
Eda kommun;Narkotikabrott;2015;Nov;23;271
Eda kommun;Narkotikabrott;2015;Dec;12;142
Ekerö kommun;Narkotikabrott;2015;Jan;7;26
Ekerö kommun;Narkotikabrott;2015;Feb;1;4
Ekerö kommun;Narkotikabrott;2015;Mar;13;48
Ekerö kommun;Narkotikabrott;2015;Apr;16;60
Ekerö kommun;Narkotikabrott;2015;Maj;7;26
Ekerö kommun;Narkotikabrott;2015;Jun;13;48
Ekerö kommun;Narkotikabrott;2015;Jul;10;37
Ekerö kommun;Narkotikabrott;2015;Aug;2;7
Ekerö kommun;Narkotikabrott;2015;Sep;2;7
Ekerö kommun;Narkotikabrott;2015;Okt;7;26
Ekerö kommun;Narkotikabrott;2015;Nov;2;7
Ekerö kommun;Narkotikabrott;2015;Dec;1;4
Eksjö kommun;Narkotikabrott;2015;Jan;38;228
Eksjö kommun;Narkotikabrott;2015;Feb;26;156
Eksjö kommun;Narkotikabrott;2015;Mar;29;174
Eksjö kommun;Narkotikabrott;2015;Apr;10;60
Eksjö kommun;Narkotikabrott;2015;Maj;10;60
Eksjö kommun;Narkotikabrott;2015;Jun;30;180
Eksjö kommun;Narkotikabrott;2015;Jul;16;96
Eksjö kommun;Narkotikabrott;2015;Aug;15;90
Eksjö kommun;Narkotikabrott;2015;Sep;10;60
Eksjö kommun;Narkotikabrott;2015;Okt;6;36
Eksjö kommun;Narkotikabrott;2015;Nov;15;90
Eksjö kommun;Narkotikabrott;2015;Dec;11;66
Emmaboda kommun;Narkotikabrott;2015;Jan;17;188
Emmaboda kommun;Narkotikabrott;2015;Feb;25;276
Emmaboda kommun;Narkotikabrott;2015;Mar;10;111
Emmaboda kommun;Narkotikabrott;2015;Apr;5;55
Emmaboda kommun;Narkotikabrott;2015;Maj;13;144
Emmaboda kommun;Narkotikabrott;2015;Jun;7;77
Emmaboda kommun;Narkotikabrott;2015;Jul;102;1127
Emmaboda kommun;Narkotikabrott;2015;Aug;0;0
Emmaboda kommun;Narkotikabrott;2015;Sep;3;33
Emmaboda kommun;Narkotikabrott;2015;Okt;1;11
Emmaboda kommun;Narkotikabrott;2015;Nov;3;33
Emmaboda kommun;Narkotikabrott;2015;Dec;3;33
Enköping kommun;Narkotikabrott;2015;Jan;160;385
Enköping kommun;Narkotikabrott;2015;Feb;114;275
Enköping kommun;Narkotikabrott;2015;Mar;146;352
Enköping kommun;Narkotikabrott;2015;Apr;134;323
Enköping kommun;Narkotikabrott;2015;Maj;121;291
Enköping kommun;Narkotikabrott;2015;Jun;148;356
Enköping kommun;Narkotikabrott;2015;Jul;111;267
Enköping kommun;Narkotikabrott;2015;Aug;95;229
Enköping kommun;Narkotikabrott;2015;Sep;143;344
Enköping kommun;Narkotikabrott;2015;Okt;91;219
Enköping kommun;Narkotikabrott;2015;Nov;125;301
Enköping kommun;Narkotikabrott;2015;Dec;120;289
Eskilstuna kommun;Narkotikabrott;2015;Jan;175;172
Eskilstuna kommun;Narkotikabrott;2015;Feb;172;169
Eskilstuna kommun;Narkotikabrott;2015;Mar;208;205
Eskilstuna kommun;Narkotikabrott;2015;Apr;235;232
Eskilstuna kommun;Narkotikabrott;2015;Maj;244;240
Eskilstuna kommun;Narkotikabrott;2015;Jun;183;180
Eskilstuna kommun;Narkotikabrott;2015;Jul;112;110
Eskilstuna kommun;Narkotikabrott;2015;Aug;207;204
Eskilstuna kommun;Narkotikabrott;2015;Sep;202;199
Eskilstuna kommun;Narkotikabrott;2015;Okt;181;178
Eskilstuna kommun;Narkotikabrott;2015;Nov;141;139
Eskilstuna kommun;Narkotikabrott;2015;Dec;209;206
Eslöv kommun;Narkotikabrott;2015;Jan;43;133
Eslöv kommun;Narkotikabrott;2015;Feb;35;108
Eslöv kommun;Narkotikabrott;2015;Mar;42;130
Eslöv kommun;Narkotikabrott;2015;Apr;23;71
Eslöv kommun;Narkotikabrott;2015;Maj;23;71
Eslöv kommun;Narkotikabrott;2015;Jun;1;3
Eslöv kommun;Narkotikabrott;2015;Jul;7;22
Eslöv kommun;Narkotikabrott;2015;Aug;53;164
Eslöv kommun;Narkotikabrott;2015;Sep;32;99
Eslöv kommun;Narkotikabrott;2015;Okt;47;145
Eslöv kommun;Narkotikabrott;2015;Nov;31;96
Eslöv kommun;Narkotikabrott;2015;Dec;8;25
Essunga kommun;Narkotikabrott;2015;Jan;7;126
Essunga kommun;Narkotikabrott;2015;Feb;7;126
Essunga kommun;Narkotikabrott;2015;Mar;0;0
Essunga kommun;Narkotikabrott;2015;Apr;0;0
Essunga kommun;Narkotikabrott;2015;Maj;6;108
Essunga kommun;Narkotikabrott;2015;Jun;8;144
Essunga kommun;Narkotikabrott;2015;Jul;0;0
Essunga kommun;Narkotikabrott;2015;Aug;1;18
Essunga kommun;Narkotikabrott;2015;Sep;0;0
Essunga kommun;Narkotikabrott;2015;Okt;7;126
Essunga kommun;Narkotikabrott;2015;Nov;0;0
Essunga kommun;Narkotikabrott;2015;Dec;4;72
Fagersta kommun;Narkotikabrott;2015;Jan;21;159
Fagersta kommun;Narkotikabrott;2015;Feb;28;212
Fagersta kommun;Narkotikabrott;2015;Mar;7;53
Fagersta kommun;Narkotikabrott;2015;Apr;4;30
Fagersta kommun;Narkotikabrott;2015;Maj;16;121
Fagersta kommun;Narkotikabrott;2015;Jun;5;38
Fagersta kommun;Narkotikabrott;2015;Jul;15;114
Fagersta kommun;Narkotikabrott;2015;Aug;5;38
Fagersta kommun;Narkotikabrott;2015;Sep;15;114
Fagersta kommun;Narkotikabrott;2015;Okt;28;212
Fagersta kommun;Narkotikabrott;2015;Nov;5;38
Fagersta kommun;Narkotikabrott;2015;Dec;19;144
Falkenberg kommun;Narkotikabrott;2015;Jan;48;112
Falkenberg kommun;Narkotikabrott;2015;Feb;40;94
Falkenberg kommun;Narkotikabrott;2015;Mar;43;101
Falkenberg kommun;Narkotikabrott;2015;Apr;110;258
Falkenberg kommun;Narkotikabrott;2015;Maj;39;91
Falkenberg kommun;Narkotikabrott;2015;Jun;23;54
Falkenberg kommun;Narkotikabrott;2015;Jul;30;70
Falkenberg kommun;Narkotikabrott;2015;Aug;21;49
Falkenberg kommun;Narkotikabrott;2015;Sep;45;105
Falkenberg kommun;Narkotikabrott;2015;Okt;66;155
Falkenberg kommun;Narkotikabrott;2015;Nov;68;159
Falkenberg kommun;Narkotikabrott;2015;Dec;17;40
