Region;Brott;År;Period;Antal;/100 000 inv
Essunga kommun;Totalt antal brott;2015;Jun;43;773
Essunga kommun;Totalt antal brott;2015;Jul;65;1168
Essunga kommun;Totalt antal brott;2015;Aug;33;593
Essunga kommun;Totalt antal brott;2015;Sep;84;1510
Essunga kommun;Totalt antal brott;2015;Okt;49;881
Essunga kommun;Totalt antal brott;2015;Nov;43;773
Essunga kommun;Totalt antal brott;2015;Dec;35;629
Fagersta kommun;Totalt antal brott;2015;Jan;123;931
Fagersta kommun;Totalt antal brott;2015;Feb;135;1022
Fagersta kommun;Totalt antal brott;2015;Mar;116;878
Fagersta kommun;Totalt antal brott;2015;Apr;104;787
Fagersta kommun;Totalt antal brott;2015;Maj;115;871
Fagersta kommun;Totalt antal brott;2015;Jun;75;568
Fagersta kommun;Totalt antal brott;2015;Jul;126;954
Fagersta kommun;Totalt antal brott;2015;Aug;128;969
Fagersta kommun;Totalt antal brott;2015;Sep;132;999
Fagersta kommun;Totalt antal brott;2015;Okt;146;1105
Fagersta kommun;Totalt antal brott;2015;Nov;103;780
Fagersta kommun;Totalt antal brott;2015;Dec;133;1007
Falkenberg kommun;Totalt antal brott;2015;Jan;364;853
Falkenberg kommun;Totalt antal brott;2015;Feb;340;796
Falkenberg kommun;Totalt antal brott;2015;Mar;437;1024
Falkenberg kommun;Totalt antal brott;2015;Apr;431;1010
Falkenberg kommun;Totalt antal brott;2015;Maj;444;1040
Falkenberg kommun;Totalt antal brott;2015;Jun;415;972
